Stock_number,,,coor,
SALK_204146,chr1:000033534,2.00E-133,W/33534-33790,JS805842.1
SALK_207003,chr1:000033877,5.00E-119,W/33877-34107,JS807113.1
SALK_206736,chr1:000050631,8.00E-91,W/50631-50810,JS806990.1
SALK_200839,chr1:000058523,6.00E-108,W/58523-58733,JS804452.1
SALK_203148,chr1:000098110,9.00E-137,W/98110-98372,JY127679.1
SALK_203765,chr1:000099012,1.00E-129,W/99012-99261,JS805651.1
SALK_202118,chr1:000121077,4.00E-89,W/121077-121253,JS805048.1
SALK_204227,chr1:000143563,2.00E-113,W/143563-143792,JS805884.1
SALK_209324,chr1:000150915,1.00E-129,W/150915-151164,JY502010.1
SALK_083456C,chr1:000150918,4.00E-115,W/150918-151144,JY085884.1
SALK_206535,chr1:000166462,7.00E-97,W/166462-166652,JS806878.1
SALK_208272,chr1:000176827,1.00E-109,W/176827-177040,JY126597.1
SALK_203193,chr1:000186551,4.00E-120,W/186551-186783,JS805433.1
SALK_203403,chr1:000210308,2.00E-127,W/210308-210556,JS805502.1
SALK_202892,chr1:000211536,4.00E-114,W/211536-211757,JS805314.1
SALK_200098,chr1:000211965,1.00E-25,W/211965-212026,JS804217.1
SALK_201379,chr1:000212508,3.00E-111,W/212508-212724,JS804663.1
SALK_204887,chr1:000252868,5.00E-93,W/252868-253051,JS806140.1
SALK_203514,chr1:000253888,1.00E-114,W/253888-254110,JS805540.1
SALK_206694,chr1:000275988,5.00E-129,W/275988-276236,JS806965.1
SALK_204445,chr1:000276658,5.00E-104,W/276658-276861,JS805978.1
SALK_206339,chr1:000306052,1.00E-34,W/306052-306129,JS806764.1
SALK_206881,chr1:000358111,6.00E-159,W/358111-358413,JS807054.1
SALK_113330C,chr1:000358853,2.00E-102,W/358853-359053,JY502474.1
SALK_203900,chr1:000366910,2.00E-118,W/366910-367139,JS805718.1
SALK_114704C,chr1:000373168,3.00E-47,W/373168-373268,JY502569.1
SALK_201429,chr1:000397362,2.00E-103,W/397362-397564,JS804686.1
SALK_206057,chr1:000399834,6.00E-118,W/399834-400062,JS806621.1
SALK_200867,chr1:000404347,2.00E-123,W/404347-404585,JS804461.1
SALK_201866,chr1:000408128,3.00E-105,W/408128-408333,JS804915.1
SALK_203967,chr1:000410821,4.00E-95,W/410821-411008,JS805749.1
SALK_205203,chr1:000449293,4.00E-176,W/449293-449626,JS806274.1
SALK_204340,chr1:000483835,1.00E-120,W/483835-484068,JS805931.1
SALK_200111,chr1:000487898,3.00E-85,W/487898-488067,JS804220.1
SALK_207642,chr1:000515227,1.00E-67,W/515227-515367,JS807262.1
SALK_206211,chr1:000548786,3.00E-121,W/548786-549020,JS806694.1
SALK_206195,chr1:000582459,2.00E-169,W/582459-582804,JS806684.1
SALK_106615C,chr1:000592453,8.00E-32,W/592453-592525,JY126393.1
SALK_115081C,chr1:000634585,3.00E-47,W/634585-634685,JY502575.1
SALK_105370C1,chr1:000647274,1.00E-34,W/647274-647351,JY126313.1
SALK_114156C,chr1:000652282,2.00E-102,W/652282-652482,JY502530.1
SALK_205367,chr1:000654332,1.00E-109,W/654332-654545,JS806354.1
SALK_204456,chr1:000659419,1.00E-93,W/659419-659603,JS805985.1
SALK_106280C,chr1:000673231,1.00E-34,W/673231-673308,JY126368.1
SALK_204238,chr1:000790636,5.00E-114,W/790636-790857,JS805889.1
SALK_204831,chr1:000811469,7.00E-138,W/811469-811733,JS806115.1
SALK_201721,chr1:000812384,4.00E-26,W/812384-812447,JS804829.1
SALK_209304,chr1:000817068,0,W/817068-817416,JY502005.1
SALK_082792C1,chr1:000817215,1.00E-134,W/817215-817476,JY085879.1
SALK_201228,chr1:000843378,1.00E-99,W/843378-843573,JS804604.1
SALK_200539,chr1:000855001,8.00E-132,W/855001-855254,JS804357.1
SALK_210120,chr1:000872794,3.00E-141,W/872794-873064,JY502278.1
SALK_114372C1,chr1:000872813,2.00E-53,W/872813-872925,JY086152.1
SALK_206180,chr1:000904710,9.00E-111,W/904710-904925,JS806674.1
SALK_113610C,chr1:000907522,3.00E-47,W/907522-907622,JY502502.1
SALK_200717,chr1:000914589,4.00E-156,W/914589-914886,JS804413.1
SALK_111505C1,chr1:000936886,1.00E-72,W/936886-937032,JY086108.1
SALK_204828,chr1:000937958,1.00E-114,W/937958-938180,JS806114.1
SALK_204007,chr1:000939795,3.00E-137,W/939795-940058,JS805772.1
SALK_206312,chr1:000948905,6.00E-103,W/948905-949106,JS806755.1
SALK_201975,chr1:000949998,9.00E-137,W/949998-950260,JS804984.1
SALK_203717,chr1:000950536,6.00E-123,W/950536-950773,JS805633.1
SALK_201256,chr1:000951358,6.00E-98,W/951358-951550,JS804611.1
SALK_209948,chr1:000967565,3.00E-141,W/967565-967835,JY502234.1
SALK_111782C,chr1:001005109,3.00E-47,W/1005109-1005209,JY502408.1
SALK_210214,chr1:001006129,8.00E-127,W/1006129-1006373,JY502314.1
SALK_115446C1,chr1:001006133,2.00E-82,W/1006133-1006297,JY086188.1
SALK_209447,chr1:001008167,5.00E-103,W/1008167-1008368,JY502067.1
SALK_086612C1,chr1:001008216,3.00E-100,W/1008216-1008412,JY085941.1
SALK_203833,chr1:001022787,4.00E-94,W/1022787-1022972,JS805683.1
SALK_203528,chr1:001023262,2.00E-96,W/1023262-1023451,JS805542.1
SALK_206401,chr1:001062086,1.00E-34,W/1062086-1062163,JS806798.1
SALK_201027,chr1:001096900,5.00E-34,W/1096900-1096976,JS804505.1
SALK_206836,chr1:001099622,4.00E-114,W/1099622-1099843,JS807040.1
SALK_203617,chr1:001156030,3.00E-127,W/1156030-1156275,JS805580.1
SALK_208507,chr1:001168121,2.00E-128,W/1168121-1168368,JY126724.1
SALK_209630,chr1:001205314,5.00E-139,W/1205314-1205580,JY502139.1
SALK_106786C1,chr1:001205424,1.00E-89,W/1205424-1205601,JY086013.1
SALK_201191,chr1:001211098,5.00E-93,W/1211098-1211281,JS804581.1
SALK_205376,chr1:001211827,5.00E-114,W/1211827-1212057,JS806358.1
SALK_204928,chr1:001213239,4.00E-68,W/1213239-1213377,JS806161.1
SALK_202932,chr1:001239043,1.00E-93,W/1239043-1239227,JY127660.1
SALK_201986,chr1:001242099,7.00E-112,W/1242099-1242316,JS804988.1
SALK_208439,chr1:001342063,4.00E-120,W/1342063-1342295,JY126691.1
SALK_109786C,chr1:001343893,3.00E-47,W/1343893-1343993,JY502361.1
SALK_206219,chr1:001416097,5.00E-114,W/1416097-1416318,JS806701.1
SALK_208448,chr1:001418993,2.00E-65,W/1418993-1419126,JY126694.1
SALK_209705,chr1:001420710,3.00E-126,W/1420710-1420953,JY502168.1
SALK_107625C1,chr1:001420791,6.00E-82,W/1420791-1420954,JY086042.1
SALK_206058,chr1:001448653,4.00E-32,W/1448653-1448726,JS806622.1
SALK_205463,chr1:001454047,7.00E-113,W/1454047-1454266,JS806394.1
SALK_201757,chr1:001454311,4.00E-73,W/1454311-1454458,JS804851.1
SALK_203502,chr1:001456981,2.00E-112,W/1456981-1457199,JS805536.1
SALK_205719,chr1:001457265,1.00E-95,W/1457265-1457453,JS806476.1
SALK_203352,chr1:001484276,9.00E-127,W/1484276-1484520,JS805479.1
SALK_201768,chr1:001507827,2.00E-24,W/1507827-1507941,JS804860.1
SALK_105495C1,chr1:001571118,1.00E-34,W/1571118-1571195,JY126321.1
SALK_206147,chr1:001584306,9.00E-106,W/1584306-1584512,JS806653.1
SALK_105668C1,chr1:001604917,7.00E-33,W/1604917-1604994,JY126335.1
SALK_208160,chr1:001607468,5.00E-77,W/1607468-1607622,JY126541.1
SALK_204501,chr1:001622498,1.00E-109,W/1622498-1622711,JS806008.1
SALK_201440,chr1:001681288,1.00E-104,W/1681288-1681492,JS804691.1
SALK_208571,chr1:001716907,2.00E-127,W/1716907-1717152,JY126753.1
SALK_112140C,chr1:001855753,3.00E-47,W/1855753-1855853,JY502429.1
SALK_209848,chr1:001862630,1.00E-155,W/1862630-1862926,JY502202.1
SALK_109325C1,chr1:001862689,2.00E-73,W/1862689-1862840,JY086076.1
SALK_203964,chr1:001868514,3.00E-147,W/1868514-1868798,JS805746.1
SALK_106834C1,chr1:001905098,1.00E-16,W/1905098-1905142,JY126421.1
SALK_208359,chr1:001912128,3.00E-136,W/1912128-1912389,JY126649.1
