chrom,source,feature,begin,end,,,,locus,transcript,,,
Chr1,Araport11,mRNA,13108634,13111700,.,+,.,AT1G35540,1,Dbxref=PMID:11118137,,
Chr1,Araport11,exon,13108634,13108682,.,+,.,AT1G35540,1,Name=ARF14:exon:1,ID=AT1G35540:exon:1,Parent=AT1G35540.1
Chr1,Araport11,CDS,13108634,13108682,.,+,0,AT1G35540,1,Name=ARF14:CDS:1,ID=AT1G35540:CDS:1,Parent=AT1G35540.1
Chr1,Araport11,exon,13108755,13108873,.,+,.,AT1G35540,1,Name=ARF14:exon:2,ID=AT1G35540:exon:2,Parent=AT1G35540.1
Chr1,Araport11,CDS,13108755,13108873,.,+,2,AT1G35540,1,Name=ARF14:CDS:2,ID=AT1G35540:CDS:2,Parent=AT1G35540.1
Chr1,Araport11,exon,13109070,13109165,.,+,.,AT1G35540,1,Name=ARF14:exon:3,ID=AT1G35540:exon:3,Parent=AT1G35540.1
Chr1,Araport11,CDS,13109070,13109165,.,+,0,AT1G35540,1,Name=ARF14:CDS:3,ID=AT1G35540:CDS:3,Parent=AT1G35540.1
Chr1,Araport11,exon,13109264,13109320,.,+,.,AT1G35540,1,Name=ARF14:exon:4,ID=AT1G35540:exon:4,Parent=AT1G35540.1
Chr1,Araport11,CDS,13109264,13109320,.,+,0,AT1G35540,1,Name=ARF14:CDS:4,ID=AT1G35540:CDS:4,Parent=AT1G35540.1
Chr1,Araport11,exon,13109416,13109559,.,+,.,AT1G35540,1,Name=ARF14:exon:5,ID=AT1G35540:exon:5,Parent=AT1G35540.1
Chr1,Araport11,CDS,13109416,13109559,.,+,0,AT1G35540,1,Name=ARF14:CDS:5,ID=AT1G35540:CDS:5,Parent=AT1G35540.1
Chr1,Araport11,exon,13109638,13109722,.,+,.,AT1G35540,1,Name=ARF14:exon:6,ID=AT1G35540:exon:6,Parent=AT1G35540.1
Chr1,Araport11,CDS,13109638,13109722,.,+,0,AT1G35540,1,Name=ARF14:CDS:6,ID=AT1G35540:CDS:6,Parent=AT1G35540.1
Chr1,Araport11,exon,13109813,13109903,.,+,.,AT1G35540,1,Name=ARF14:exon:7,ID=AT1G35540:exon:7,Parent=AT1G35540.1
Chr1,Araport11,CDS,13109813,13109903,.,+,2,AT1G35540,1,Name=ARF14:CDS:7,ID=AT1G35540:CDS:7,Parent=AT1G35540.1
Chr1,Araport11,exon,13109979,13110143,.,+,.,AT1G35540,1,Name=ARF14:exon:8,ID=AT1G35540:exon:8,Parent=AT1G35540.1
Chr1,Araport11,CDS,13109979,13110143,.,+,1,AT1G35540,1,Name=ARF14:CDS:8,ID=AT1G35540:CDS:8,Parent=AT1G35540.1
Chr1,Araport11,exon,13110251,13110364,.,+,.,AT1G35540,1,Name=ARF14:exon:9,ID=AT1G35540:exon:9,Parent=AT1G35540.1
Chr1,Araport11,CDS,13110251,13110364,.,+,1,AT1G35540,1,Name=ARF14:CDS:9,ID=AT1G35540:CDS:9,Parent=AT1G35540.1
Chr1,Araport11,exon,13110453,13110525,.,+,.,AT1G35540,1,Name=ARF14:exon:10,ID=AT1G35540:exon:10,Parent=AT1G35540.1
Chr1,Araport11,CDS,13110453,13110525,.,+,1,AT1G35540,1,Name=ARF14:CDS:10,ID=AT1G35540:CDS:10,Parent=AT1G35540.1
Chr1,Araport11,exon,13110618,13110756,.,+,.,AT1G35540,1,Name=ARF14:exon:11,ID=AT1G35540:exon:11,Parent=AT1G35540.1
Chr1,Araport11,CDS,13110618,13110756,.,+,0,AT1G35540,1,Name=ARF14:CDS:11,ID=AT1G35540:CDS:11,Parent=AT1G35540.1
Chr1,Araport11,exon,13110841,13111250,.,+,.,AT1G35540,1,Name=ARF14:exon:12,ID=AT1G35540:exon:12,Parent=AT1G35540.1
Chr1,Araport11,CDS,13110841,13111250,.,+,2,AT1G35540,1,Name=ARF14:CDS:12,ID=AT1G35540:CDS:12,Parent=AT1G35540.1
Chr1,Araport11,exon,13111338,13111525,.,+,.,AT1G35540,1,Name=ARF14:exon:13,ID=AT1G35540:exon:13,Parent=AT1G35540.1
Chr1,Araport11,CDS,13111338,13111525,.,+,0,AT1G35540,1,Name=ARF14:CDS:13,ID=AT1G35540:CDS:13,Parent=AT1G35540.1
Chr1,Araport11,exon,13111613,13111700,.,+,.,AT1G35540,1,Name=ARF14:exon:14,ID=AT1G35540:exon:14,Parent=AT1G35540.1
Chr1,Araport11,CDS,13111613,13111700,.,+,1,AT1G35540,1,Name=ARF14:CDS:14,ID=AT1G35540:CDS:14,Parent=AT1G35540.1
