chrom,source,feature,begin,end,,,,locus,transcript,,,
Chr2,Araport11,mRNA,19104632,19108486,.,+,.,AT2G46530,1,Dbxref=PMID:11118137,,
Chr2,Araport11,five_prime_UTR,19104632,19104992,.,+,.,AT2G46530,1,Name=ARF11:five_prime_UTR:1,ID=AT2G46530:five_prime_UTR:1,Parent=AT2G46530.1
Chr2,Araport11,exon,19104632,19105026,.,+,.,AT2G46530,1,Name=ARF11:exon:1,ID=AT2G46530:exon:1,Parent=AT2G46530.1
Chr2,Araport11,CDS,19104993,19105026,.,+,0,AT2G46530,1,Name=ARF11:CDS:1,ID=AT2G46530:CDS:1,Parent=AT2G46530.1
Chr2,Araport11,CDS,19105209,19105324,.,+,2,AT2G46530,1,Name=ARF11:CDS:3,ID=AT2G46530:CDS:3,Parent=AT2G46530.1
Chr2,Araport11,CDS,19105405,19105560,.,+,0,AT2G46530,1,Name=ARF11:CDS:4,ID=AT2G46530:CDS:4,Parent=AT2G46530.1
Chr2,Araport11,CDS,19105639,19105791,.,+,0,AT2G46530,1,Name=ARF11:CDS:6,ID=AT2G46530:CDS:6,Parent=AT2G46530.1
Chr2,Araport11,CDS,19105891,19105975,.,+,0,AT2G46530,1,Name=ARF11:CDS:8,ID=AT2G46530:CDS:8,Parent=AT2G46530.1
Chr2,Araport11,CDS,19106048,19106138,.,+,2,AT2G46530,1,Name=ARF11:CDS:9,ID=AT2G46530:CDS:9,Parent=AT2G46530.1
Chr2,Araport11,CDS,19106221,19106385,.,+,1,AT2G46530,1,Name=ARF11:CDS:10,ID=AT2G46530:CDS:10,Parent=AT2G46530.1
Chr2,Araport11,CDS,19106467,19106580,.,+,1,AT2G46530,1,Name=ARF11:CDS:11,ID=AT2G46530:CDS:11,Parent=AT2G46530.1
Chr2,Araport11,CDS,19106681,19106753,.,+,1,AT2G46530,1,Name=ARF11:CDS:12,ID=AT2G46530:CDS:12,Parent=AT2G46530.1
Chr2,Araport11,CDS,19106846,19106984,.,+,0,AT2G46530,1,Name=ARF11:CDS:13,ID=AT2G46530:CDS:13,Parent=AT2G46530.1
Chr2,Araport11,CDS,19107156,19107511,.,+,2,AT2G46530,1,Name=ARF11:CDS:14,ID=AT2G46530:CDS:14,Parent=AT2G46530.1
Chr2,Araport11,CDS,19107613,19107800,.,+,0,AT2G46530,1,Name=ARF11:CDS:15,ID=AT2G46530:CDS:15,Parent=AT2G46530.1
Chr2,Araport11,CDS,19107894,19108029,.,+,1,AT2G46530,1,Name=ARF11:CDS:16,ID=AT2G46530:CDS:16,Parent=AT2G46530.1
Chr2,Araport11,exon,19107894,19108486,.,+,.,AT2G46530,1,Name=ARF11:exon:17,ID=AT2G46530:exon:17,Parent=AT2G46530.1
Chr2,Araport11,three_prime_UTR,19108030,19108486,.,+,.,AT2G46530,1,Name=ARF11:three_prime_UTR:2,ID=AT2G46530:three_prime_UTR:2,Parent=AT2G46530.1
Chr2,Araport11,exon,19105209,19105324,.,+,.,AT2G46530,1,Name=ARF11:exon:4,ID=AT2G46530:exon:4,Parent=AT2G46530.1
Chr2,Araport11,exon,19105405,19105560,.,+,.,AT2G46530,1,Name=ARF11:exon:5,ID=AT2G46530:exon:5,Parent=AT2G46530.1
Chr2,Araport11,exon,19105639,19105791,.,+,.,AT2G46530,1,Name=ARF11:exon:6,ID=AT2G46530:exon:6,Parent=AT2G46530.1
Chr2,Araport11,exon,19105891,19105975,.,+,.,AT2G46530,1,Name=ARF11:exon:8,ID=AT2G46530:exon:8,Parent=AT2G46530.1
Chr2,Araport11,exon,19106048,19106138,.,+,.,AT2G46530,1,Name=ARF11:exon:9,ID=AT2G46530:exon:9,Parent=AT2G46530.1
Chr2,Araport11,exon,19106221,19106385,.,+,.,AT2G46530,1,Name=ARF11:exon:10,ID=AT2G46530:exon:10,Parent=AT2G46530.1
Chr2,Araport11,exon,19106467,19106580,.,+,.,AT2G46530,1,Name=ARF11:exon:11,ID=AT2G46530:exon:11,Parent=AT2G46530.1
Chr2,Araport11,exon,19106681,19106753,.,+,.,AT2G46530,1,Name=ARF11:exon:12,ID=AT2G46530:exon:12,Parent=AT2G46530.1
Chr2,Araport11,exon,19106846,19106984,.,+,.,AT2G46530,1,Name=ARF11:exon:13,ID=AT2G46530:exon:13,Parent=AT2G46530.1
Chr2,Araport11,exon,19107156,19107511,.,+,.,AT2G46530,1,Name=ARF11:exon:14,ID=AT2G46530:exon:14,Parent=AT2G46530.1
Chr2,Araport11,exon,19107613,19107800,.,+,.,AT2G46530,1,Name=ARF11:exon:15,ID=AT2G46530:exon:15,Parent=AT2G46530.1
Chr2,Araport11,mRNA,19104683,19108331,.,+,.,AT2G46530,2,Dbxref=PMID:16280546,,
Chr2,Araport11,exon,19104683,19105026,.,+,.,AT2G46530,2,Name=ARF11:exon:2,ID=AT2G46530:exon:2,Parent=AT2G46530.2
Chr2,Araport11,five_prime_UTR,19104683,19105026,.,+,.,AT2G46530,2,Name=ARF11:five_prime_UTR:2,ID=AT2G46530:five_prime_UTR:2,Parent=AT2G46530.2
Chr2,Araport11,five_prime_UTR,19105209,19105324,.,+,.,AT2G46530,2,Name=ARF11:five_prime_UTR:3,ID=AT2G46530:five_prime_UTR:3,Parent=AT2G46530.2
Chr2,Araport11,exon,19105209,19105324,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,five_prime_UTR,19105405,19105510,.,+,.,AT2G46530,2,Name=ARF11:five_prime_UTR:4,ID=AT2G46530:five_prime_UTR:4,Parent=AT2G46530.2
Chr2,Araport11,CDS,19105511,19105560,.,+,0,AT2G46530,2,Name=ARF11:CDS:5,ID=AT2G46530:CDS:5,Parent=AT2G46530.2
Chr2,Araport11,exon,19105644,19105791,.,+,.,AT2G46530,2,Name=ARF11:exon:7,ID=AT2G46530:exon:7,Parent=AT2G46530.2
Chr2,Araport11,CDS,19105644,19105791,.,+,1,AT2G46530,2,Name=ARF11:CDS:7,ID=AT2G46530:CDS:7,Parent=AT2G46530.2
Chr2,Araport11,CDS,19105891,19105975,.,+,0,AT2G46530,2,Name=ARF11:CDS:8,ID=AT2G46530:CDS:8.1,Parent=AT2G46530.2
Chr2,Araport11,CDS,19106048,19106138,.,+,2,AT2G46530,2,Name=ARF11:CDS:9,ID=AT2G46530:CDS:9.1,Parent=AT2G46530.2
