chrom,source,feature,begin,end,,,,locus,transcript,,,
Chr1,Araport11,mRNA,12577722,12580824,.,+,.,AT1G34410,1,Dbxref=PMID:11118137,,
Chr1,Araport11,exon,12577722,12577770,.,+,.,AT1G34410,1,Name=ARF21:exon:1,ID=AT1G34410:exon:1,Parent=AT1G34410.1
Chr1,Araport11,CDS,12577722,12577770,.,+,0,AT1G34410,1,Name=ARF21:CDS:1,ID=AT1G34410:CDS:1,Parent=AT1G34410.1
Chr1,Araport11,exon,12577847,12577965,.,+,.,AT1G34410,1,Name=ARF21:exon:2,ID=AT1G34410:exon:2,Parent=AT1G34410.1
Chr1,Araport11,CDS,12577847,12577965,.,+,2,AT1G34410,1,Name=ARF21:CDS:2,ID=AT1G34410:CDS:2,Parent=AT1G34410.1
Chr1,Araport11,exon,12578148,12578243,.,+,.,AT1G34410,1,Name=ARF21:exon:3,ID=AT1G34410:exon:3,Parent=AT1G34410.1
Chr1,Araport11,CDS,12578148,12578243,.,+,0,AT1G34410,1,Name=ARF21:CDS:3,ID=AT1G34410:CDS:3,Parent=AT1G34410.1
Chr1,Araport11,exon,12578349,12578405,.,+,.,AT1G34410,1,Name=ARF21:exon:4,ID=AT1G34410:exon:4,Parent=AT1G34410.1
Chr1,Araport11,CDS,12578349,12578405,.,+,0,AT1G34410,1,Name=ARF21:CDS:4,ID=AT1G34410:CDS:4,Parent=AT1G34410.1
Chr1,Araport11,exon,12578513,12578656,.,+,.,AT1G34410,1,Name=ARF21:exon:5,ID=AT1G34410:exon:5,Parent=AT1G34410.1
Chr1,Araport11,CDS,12578513,12578656,.,+,0,AT1G34410,1,Name=ARF21:CDS:5,ID=AT1G34410:CDS:5,Parent=AT1G34410.1
Chr1,Araport11,exon,12578736,12578820,.,+,.,AT1G34410,1,Name=ARF21:exon:6,ID=AT1G34410:exon:6,Parent=AT1G34410.1
Chr1,Araport11,CDS,12578736,12578820,.,+,0,AT1G34410,1,Name=ARF21:CDS:6,ID=AT1G34410:CDS:6,Parent=AT1G34410.1
Chr1,Araport11,exon,12578912,12579002,.,+,.,AT1G34410,1,Name=ARF21:exon:7,ID=AT1G34410:exon:7,Parent=AT1G34410.1
Chr1,Araport11,CDS,12578912,12579002,.,+,2,AT1G34410,1,Name=ARF21:CDS:7,ID=AT1G34410:CDS:7,Parent=AT1G34410.1
Chr1,Araport11,exon,12579078,12579242,.,+,.,AT1G34410,1,Name=ARF21:exon:8,ID=AT1G34410:exon:8,Parent=AT1G34410.1
Chr1,Araport11,CDS,12579078,12579242,.,+,1,AT1G34410,1,Name=ARF21:CDS:8,ID=AT1G34410:CDS:8,Parent=AT1G34410.1
Chr1,Araport11,exon,12579349,12579462,.,+,.,AT1G34410,1,Name=ARF21:exon:9,ID=AT1G34410:exon:9,Parent=AT1G34410.1
Chr1,Araport11,CDS,12579349,12579462,.,+,1,AT1G34410,1,Name=ARF21:CDS:9,ID=AT1G34410:CDS:9,Parent=AT1G34410.1
Chr1,Araport11,exon,12579552,12579624,.,+,.,AT1G34410,1,Name=ARF21:exon:10,ID=AT1G34410:exon:10,Parent=AT1G34410.1
Chr1,Araport11,CDS,12579552,12579624,.,+,1,AT1G34410,1,Name=ARF21:CDS:10,ID=AT1G34410:CDS:10,Parent=AT1G34410.1
Chr1,Araport11,exon,12579717,12579855,.,+,.,AT1G34410,1,Name=ARF21:exon:11,ID=AT1G34410:exon:11,Parent=AT1G34410.1
Chr1,Araport11,CDS,12579717,12579855,.,+,0,AT1G34410,1,Name=ARF21:CDS:11,ID=AT1G34410:CDS:11,Parent=AT1G34410.1
Chr1,Araport11,exon,12579960,12580372,.,+,.,AT1G34410,1,Name=ARF21:exon:12,ID=AT1G34410:exon:12,Parent=AT1G34410.1
Chr1,Araport11,CDS,12579960,12580372,.,+,2,AT1G34410,1,Name=ARF21:CDS:12,ID=AT1G34410:CDS:12,Parent=AT1G34410.1
Chr1,Araport11,exon,12580460,12580647,.,+,.,AT1G34410,1,Name=ARF21:exon:13,ID=AT1G34410:exon:13,Parent=AT1G34410.1
Chr1,Araport11,CDS,12580460,12580647,.,+,0,AT1G34410,1,Name=ARF21:CDS:13,ID=AT1G34410:CDS:13,Parent=AT1G34410.1
Chr1,Araport11,exon,12580737,12580824,.,+,.,AT1G34410,1,Name=ARF21:exon:14,ID=AT1G34410:exon:14,Parent=AT1G34410.1
Chr1,Araport11,CDS,12580737,12580824,.,+,1,AT1G34410,1,Name=ARF21:CDS:14,ID=AT1G34410:CDS:14,Parent=AT1G34410.1
