chrom,source,feature,begin,end,,,,locus,transcript,,,
Chr2,Araport11,mRNA,9034056,9036636,.,+,.,AT2G21050,1,_Curator_summary=Encodes LAX2 (LIKE AUXIN RESISTANT)%2C a member of the AUX1 LAX family of auxin influx carriers.  Required for the establishment of embryonic root cell organization.,Dbxref=gene:2047101,
Chr2,Araport11,five_prime_UTR,9034056,9034288,.,+,.,AT2G21050,1,Name=LAX2:five_prime_UTR:1,ID=AT2G21050:five_prime_UTR:1,Parent=AT2G21050.1
Chr2,Araport11,exon,9034056,9034447,.,+,.,AT2G21050,1,Name=LAX2:exon:1,ID=AT2G21050:exon:1,Parent=AT2G21050.1
Chr2,Araport11,CDS,9034289,9034447,.,+,0,AT2G21050,1,Name=LAX2:CDS:1,ID=AT2G21050:CDS:1,Parent=AT2G21050.1
Chr2,Araport11,exon,9034551,9034736,.,+,.,AT2G21050,1,Name=LAX2:exon:2,ID=AT2G21050:exon:2,Parent=AT2G21050.1
Chr2,Araport11,CDS,9034551,9034736,.,+,0,AT2G21050,1,Name=LAX2:CDS:2,ID=AT2G21050:CDS:2,Parent=AT2G21050.1
Chr2,Araport11,exon,9034828,9034940,.,+,.,AT2G21050,1,Name=LAX2:exon:3,ID=AT2G21050:exon:3,Parent=AT2G21050.1
Chr2,Araport11,CDS,9034828,9034940,.,+,0,AT2G21050,1,Name=LAX2:CDS:3,ID=AT2G21050:CDS:3,Parent=AT2G21050.1
Chr2,Araport11,exon,9035023,9035206,.,+,.,AT2G21050,1,Name=LAX2:exon:4,ID=AT2G21050:exon:4,Parent=AT2G21050.1
Chr2,Araport11,CDS,9035023,9035206,.,+,1,AT2G21050,1,Name=LAX2:CDS:4,ID=AT2G21050:CDS:4,Parent=AT2G21050.1
Chr2,Araport11,exon,9035505,9035602,.,+,.,AT2G21050,1,Name=LAX2:exon:5,ID=AT2G21050:exon:5,Parent=AT2G21050.1
Chr2,Araport11,CDS,9035505,9035602,.,+,0,AT2G21050,1,Name=LAX2:CDS:5,ID=AT2G21050:CDS:5,Parent=AT2G21050.1
Chr2,Araport11,CDS,9035728,9036439,.,+,1,AT2G21050,1,Name=LAX2:CDS:6,ID=AT2G21050:CDS:6,Parent=AT2G21050.1
Chr2,Araport11,exon,9035728,9036636,.,+,.,AT2G21050,1,Name=LAX2:exon:6,ID=AT2G21050:exon:6,Parent=AT2G21050.1
Chr2,Araport11,three_prime_UTR,9036440,9036636,.,+,.,AT2G21050,1,Name=LAX2:three_prime_UTR:1,ID=AT2G21050:three_prime_UTR:1,Parent=AT2G21050.1
